Index	Name	Description	File Name	Quantity
1	Tslot20_heigh		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/T-Slot_20_height.FCStd	4
2	Tslot20_len		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/T-Slot_20_length.FCStd	4
3	Tslot20_wid		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/T-Slot_20_width.FCStd	4
4	Part_Bracket		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/2020-corner-bracket.FCStd	16
4.1	Body		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/2020-corner-bracket.FCStd	1
5	T-Nut_2020_M5		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/T-nut_20.FCStd	56
6	asm_roof_holder		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/dbox_asm.FCStd	1
6.1	asm_roof_holder		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/roof_holder_asm.FCStd	1
6.1.1	roof_holder		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/roof_holder.FCStd	2
6.1.2	Hex socket countersunk head screw ISO 10642 M5 15.0		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/dbox_asm.FCStd	4
7	asm_roof_holder001		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/dbox_asm.FCStd	1
7.1	asm_roof_holder		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/roof_holder_asm.FCStd	1
7.1.1	roof_holder		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/roof_holder.FCStd	2
7.1.2	Hex socket countersunk head screw ISO 10642 M5 15.0		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/dbox_asm.FCStd	4
8	asm_roof_holder002		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/dbox_asm.FCStd	1
8.1	asm_roof_holder		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/roof_holder_asm.FCStd	1
8.1.1	roof_holder		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/roof_holder.FCStd	2
8.1.2	Hex socket countersunk head screw ISO 10642 M5 15.0		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/dbox_asm.FCStd	4
9	asm_roof_holder003		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/dbox_asm.FCStd	1
9.1	asm_roof_holder		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/roof_holder_asm.FCStd	1
9.1.1	roof_holder		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/roof_holder.FCStd	2
9.1.2	Hex socket countersunk head screw ISO 10642 M5 15.0		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/dbox_asm.FCStd	4
10	asm_roof		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/dbox_asm.FCStd	1
